id_fornecedor,razao_social,cnpj,email,telefone
id_fornecedor_3496,Empresa 2207,72282567499669,user6853@gmail.com,telefone_3812
id_fornecedor_3225,Empresa 6502,03776586174592,user5786@yahoo.com.br,telefone_3521
id_fornecedor_6772,Empresa 4484,59105026901616,user4042@hotmail.com,telefone_3159
id_fornecedor_5016,Empresa 5560,90709818713649,user6051@gmail.com,telefone_1424
id_fornecedor_8274,Empresa 4625,17322309236307,user3728@hotmail.com,telefone_7172
id_fornecedor_4413,Empresa 5451,17322309236307,user4062@yahoo.com.br,telefone_7406
id_fornecedor_2643,Empresa 6504,14226870717149,user207@hotmail.com,telefone_5749
id_fornecedor_4173,Empresa 9604,77890974970405,user5084@hotmail.com,telefone_1081
id_fornecedor_2277,Empresa 9564,84993584563456,user2900@yahoo.com.br,telefone_4498
id_fornecedor_1970,Empresa 1074,17322309236307,user6957@hotmail.com,telefone_8304
id_fornecedor_6807,Empresa 9534,14226870717149,user1925@hotmail.com,telefone_4463
id_fornecedor_7169,Empresa 8581,77890974970405,user3639@yahoo.com.br,telefone_2931
id_fornecedor_6227,Empresa 8011,22991230990755,user285@yahoo.com.br,telefone_2166
id_fornecedor_4335,Empresa 3650,03776586174592,user8198@yahoo.com.br,telefone_3798
id_fornecedor_3255,Empresa 7154,03776586174592,user4695@yahoo.com.br,telefone_7345
id_fornecedor_8116,Empresa 4717,31711107694246,user5253@gmail.com,telefone_4420
id_fornecedor_6035,Empresa 3089,98537346275224,user7996@yahoo.com.br,telefone_8922
id_fornecedor_3138,Empresa 8462,72282567499669,user2957@yahoo.com.br,telefone_4592
id_fornecedor_8187,Empresa 1890,14226870717149,user635@gmail.com,telefone_2462
id_fornecedor_4655,Empresa 4176,15814399731590,user5575@hotmail.com,telefone_6375
id_fornecedor_6545,Empresa 2748,77890974970405,user9767@yahoo.com.br,telefone_5769
id_fornecedor_4228,Empresa 8951,31711107694246,user3661@yahoo.com.br,telefone_4673
id_fornecedor_1457,Empresa 3708,84993584563456,user6152@gmail.com,telefone_5452
id_fornecedor_6179,Empresa 1414,72282567499669,user4003@hotmail.com,telefone_6103
id_fornecedor_7938,Empresa 3374,17322309236307,user99@yahoo.com.br,telefone_4248
id_fornecedor_5331,Empresa 2887,15814399731590,user571@hotmail.com,telefone_2578
id_fornecedor_3658,Empresa 7727,14226870717149,user3103@gmail.com,telefone_7939
id_fornecedor_9793,Empresa 6002,98537346275224,user743@gmail.com,telefone_7275
id_fornecedor_6944,Empresa 1885,17172257001286,user2681@hotmail.com,telefone_4770
id_fornecedor_9077,Empresa 3736,17322309236307,user8720@yahoo.com.br,telefone_4400
id_fornecedor_6269,Empresa 4364,17322309236307,user5919@yahoo.com.br,telefone_5524
id_fornecedor_2592,Empresa 1513,84993584563456,user4162@hotmail.com,telefone_7960
id_fornecedor_7371,Empresa 9182,99516286428740,user7395@gmail.com,telefone_7054
id_fornecedor_1952,Empresa 9334,77890974970405,user767@hotmail.com,telefone_5336
id_fornecedor_3853,Empresa 709,14226870717149,user1243@hotmail.com,telefone_2790
id_fornecedor_4175,Empresa 5016,15814399731590,user8518@hotmail.com,telefone_8561
id_fornecedor_5450,Empresa 2442,31711107694246,user4608@hotmail.com,telefone_1763
id_fornecedor_6765,Empresa 2380,72282567499669,user7753@gmail.com,telefone_8916
id_fornecedor_3261,Empresa 4980,72282567499669,user2319@hotmail.com,telefone_1035
id_fornecedor_4981,Empresa 979,98537346275224,user3675@gmail.com,telefone_9898
id_fornecedor_9668,Empresa 3411,31711107694246,user6793@gmail.com,telefone_5105
id_fornecedor_4343,Empresa 5196,98537346275224,user2314@hotmail.com,telefone_8850
id_fornecedor_3316,Empresa 6922,72282567499669,user9493@yahoo.com.br,telefone_4392
id_fornecedor_1814,Empresa 2576,77890974970405,user7620@hotmail.com,telefone_7846
id_fornecedor_5951,Empresa 6694,22991230990755,user529@gmail.com,telefone_5365
id_fornecedor_9226,Empresa 8584,98537346275224,user6605@gmail.com,telefone_2013
id_fornecedor_8732,Empresa 8301,84993584563456,user7665@gmail.com,telefone_5006
id_fornecedor_1018,Empresa 4756,17322309236307,user3091@yahoo.com.br,telefone_3039
id_fornecedor_1170,Empresa 5760,15814399731590,user6966@gmail.com,telefone_7508
id_fornecedor_3553,Empresa 8171,84993584563456,user348@hotmail.com,telefone_1337
id_fornecedor_2628,Empresa 2519,72282567499669,user185@hotmail.com,telefone_9616
id_fornecedor_1142,Empresa 8172,59105026901616,user4583@yahoo.com.br,telefone_3037
id_fornecedor_7214,Empresa 5943,15814399731590,user1449@hotmail.com,telefone_1918
id_fornecedor_3566,Empresa 9022,59105026901616,user6222@gmail.com,telefone_8026
id_fornecedor_2669,Empresa 9599,72282567499669,user5408@hotmail.com,telefone_9392
id_fornecedor_7243,Empresa 9666,72282567499669,user7103@gmail.com,telefone_4661
id_fornecedor_8535,Empresa 4675,03776586174592,user2311@yahoo.com.br,telefone_4005
id_fornecedor_8734,Empresa 4391,17322309236307,user951@yahoo.com.br,telefone_6328
id_fornecedor_5652,Empresa 8859,77890974970405,user5780@yahoo.com.br,telefone_8964
id_fornecedor_3573,Empresa 9488,98537346275224,user1517@hotmail.com,telefone_1661
id_fornecedor_9108,Empresa 128,90709818713649,user4777@gmail.com,telefone_8479
id_fornecedor_1060,Empresa 6660,98537346275224,user1016@hotmail.com,telefone_6134
id_fornecedor_9014,Empresa 6040,59105026901616,user8145@gmail.com,telefone_8509
id_fornecedor_3743,Empresa 1956,14226870717149,user7591@hotmail.com,telefone_1193
id_fornecedor_9025,Empresa 6283,98537346275224,user1730@hotmail.com,telefone_8085
id_fornecedor_6136,Empresa 4961,99516286428740,user3172@yahoo.com.br,telefone_4973
id_fornecedor_8313,Empresa 3453,10498791878733,user2636@yahoo.com.br,telefone_5436
id_fornecedor_3995,Empresa 7710,59105026901616,user8212@yahoo.com.br,telefone_7118
id_fornecedor_4021,Empresa 4988,31711107694246,user6911@gmail.com,telefone_7356
id_fornecedor_3858,Empresa 6499,15814399731590,user7374@yahoo.com.br,telefone_2673
id_fornecedor_2078,Empresa 8901,99516286428740,user6358@yahoo.com.br,telefone_6728
id_fornecedor_6858,Empresa 6380,17322309236307,user3014@hotmail.com,telefone_9470
id_fornecedor_3134,Empresa 271,31711107694246,user486@yahoo.com.br,telefone_6885
id_fornecedor_4831,Empresa 8961,84993584563456,user3400@yahoo.com.br,telefone_9326
id_fornecedor_2042,Empresa 4847,72282567499669,user3763@gmail.com,telefone_9135
