id_contrato,descricao,cnpj_raiz,cnpj_complemento,valor
1,Contrato 1,99516286,428740,81695
2,Contrato 2,15814399,731590,66851
3,Contrato 3,03776586,174592,84080
4,Contrato 4,31711107,694246,80867
5,Contrato 5,10498791,878733,59058
6,Contrato 6,90709818,713649,35854
7,Contrato 7,17322309,236307,19348
8,Contrato 8,77890974,970405,71666
9,Contrato 9,84993584,563456,52565
10,Contrato 10,84993584,563456,35510
11,Contrato 11,03776586,174592,75383
12,Contrato 12,17322309,236307,63106
13,Contrato 13,90709818,713649,65049
14,Contrato 14,98537346,275224,90376
15,Contrato 15,10498791,878733,74654
16,Contrato 16,72282567,499669,23097
17,Contrato 17,15814399,731590,72880
18,Contrato 18,59105026,901616,75055
19,Contrato 19,14226870,717149,33483
20,Contrato 20,03776586,174592,63440
21,Contrato 21,99516286,428740,47595
22,Contrato 22,98537346,275224,62413
23,Contrato 23,31711107,694246,70959
24,Contrato 24,22991230,990755,2572
25,Contrato 25,15814399,731590,96025
26,Contrato 26,98537346,275224,32926
27,Contrato 27,14226870,717149,54689
28,Contrato 28,99516286,428740,41801
29,Contrato 29,22991230,990755,17490
30,Contrato 30,22991230,990755,54601
31,Contrato 31,17322309,236307,14650
32,Contrato 32,77890974,970405,91115
33,Contrato 33,59105026,901616,9407
34,Contrato 34,84993584,563456,43719
35,Contrato 35,90709818,713649,47598
36,Contrato 36,10498791,878733,49579
37,Contrato 37,90709818,713649,47052
38,Contrato 38,90709818,713649,29419
39,Contrato 39,17172257,001286,54243
40,Contrato 40,03776586,174592,49026
41,Contrato 41,98537346,275224,58131
42,Contrato 42,14226870,717149,97554
43,Contrato 43,84993584,563456,81350
44,Contrato 44,03776586,174592,55700
45,Contrato 45,17172257,001286,18490
46,Contrato 46,99516286,428740,24455
47,Contrato 47,90709818,713649,42134
48,Contrato 48,03776586,174592,70601
49,Contrato 49,31711107,694246,96435
50,Contrato 50,72282567,499669,27259
51,Contrato 51,17322309,236307,98990
52,Contrato 52,99516286,428740,60818
53,Contrato 53,14226870,717149,73589
54,Contrato 54,03776586,174592,80660
55,Contrato 55,15814399,731590,99906
56,Contrato 56,31711107,694246,93720
57,Contrato 57,90709818,713649,39698
58,Contrato 58,84993584,563456,11072
59,Contrato 59,10498791,878733,81509
60,Contrato 60,10498791,878733,79461
61,Contrato 61,14226870,717149,23769
62,Contrato 62,84993584,563456,72208
63,Contrato 63,22991230,990755,96064
64,Contrato 64,77890974,970405,70019
65,Contrato 65,22991230,990755,36872
66,Contrato 66,31711107,694246,68095
67,Contrato 67,98537346,275224,91906
68,Contrato 68,98537346,275224,96236
69,Contrato 69,15814399,731590,9288
70,Contrato 70,59105026,901616,57330
71,Contrato 71,17322309,236307,47347
72,Contrato 72,84993584,563456,41133
73,Contrato 73,14226870,717149,61980
74,Contrato 74,22991230,990755,32156
75,Contrato 75,15814399,731590,75796
76,Contrato 76,17172257,001286,95339
77,Contrato 77,22991230,990755,84861
78,Contrato 78,59105026,901616,3490
79,Contrato 79,14226870,717149,36157
80,Contrato 80,15814399,731590,43706
81,Contrato 81,15814399,731590,29510
82,Contrato 82,03776586,174592,80699
83,Contrato 83,72282567,499669,26303
84,Contrato 84,17322309,236307,27138
85,Contrato 85,15814399,731590,46038
86,Contrato 86,17322309,236307,84606
87,Contrato 87,84993584,563456,95428
88,Contrato 88,77890974,970405,68712
89,Contrato 89,98537346,275224,67245
90,Contrato 90,99516286,428740,4308
91,Contrato 91,31711107,694246,9184
92,Contrato 92,10498791,878733,63254
93,Contrato 93,31711107,694246,7070
94,Contrato 94,14226870,717149,80668
95,Contrato 95,84993584,563456,70697
96,Contrato 96,98537346,275224,19776
97,Contrato 97,99516286,428740,59020
98,Contrato 98,03776586,174592,84725
99,Contrato 99,17322309,236307,14581
100,Contrato 100,84993584,563456,56066
101,Contrato 101,84993584,563456,25451
102,Contrato 102,17322309,236307,17570
103,Contrato 103,17322309,236307,99813
104,Contrato 104,84993584,563456,83880
105,Contrato 105,31711107,694246,62810
106,Contrato 106,31711107,694246,67846
107,Contrato 107,90709818,713649,63211
108,Contrato 108,17172257,001286,97646
109,Contrato 109,14226870,717149,97531
110,Contrato 110,84993584,563456,87893
111,Contrato 111,98537346,275224,5994
112,Contrato 112,03776586,174592,55110
113,Contrato 113,17172257,001286,92124
114,Contrato 114,90709818,713649,80109
115,Contrato 115,31711107,694246,26316
116,Contrato 116,77890974,970405,12451
117,Contrato 117,99516286,428740,20187
118,Contrato 118,99516286,428740,76893
119,Contrato 119,72282567,499669,96428
120,Contrato 120,90709818,713649,2004
