id_fornecedor,razao_social,cnpj,email,telefone
1,Empresa 1 Ltda,72282567499669,forn1@hotmail.com,11950296000
2,Empresa 2 Ltda,03776586174592,forn2@gmail.com,11925034221
3,Empresa 3 Ltda,59105026901616,forn3@hotmail.com,11956008348
4,Empresa 4 Ltda,90709818713649,forn4@gmail.com,11929868154
5,Empresa 5 Ltda,17322309236307,forn5@yahoo.com.br,11957788503
6,Empresa 6 Ltda,17322309236307,forn6@hotmail.com,11935366054
7,Empresa 7 Ltda,14226870717149,forn7@yahoo.com.br,11963878778
8,Empresa 8 Ltda,77890974970405,forn8@hotmail.com,11932467707
9,Empresa 9 Ltda,84993584563456,forn9@hotmail.com,11935456800
10,Empresa 10 Ltda,17322309236307,forn10@yahoo.com.br,11988090903
11,Empresa 11 Ltda,14226870717149,forn11@gmail.com,11960157947
12,Empresa 12 Ltda,77890974970405,forn12@hotmail.com,11982033805
13,Empresa 13 Ltda,22991230990755,forn13@gmail.com,11963878778
14,Empresa 14 Ltda,03776586174592,forn14@gmail.com,11969830829
15,Empresa 15 Ltda,03776586174592,forn15@hotmail.com,11924481565
16,Empresa 16 Ltda,31711107694246,forn16@hotmail.com,11918270054
17,Empresa 17 Ltda,98537346275224,forn17@hotmail.com,11969830829
18,Empresa 18 Ltda,72282567499669,forn18@gmail.com,11957959801
19,Empresa 19 Ltda,14226870717149,forn19@hotmail.com,11911187029
20,Empresa 20 Ltda,15814399731590,forn20@hotmail.com,11925034221
21,Empresa 21 Ltda,77890974970405,forn21@gmail.com,11969830829
22,Empresa 22 Ltda,31711107694246,forn22@hotmail.com,11954837316
23,Empresa 23 Ltda,84993584563456,forn23@yahoo.com.br,11987843227
24,Empresa 24 Ltda,72282567499669,forn24@hotmail.com,11974110618
25,Empresa 25 Ltda,17322309236307,forn25@gmail.com,11944340432
26,Empresa 26 Ltda,15814399731590,forn26@gmail.com,11979096000
27,Empresa 27 Ltda,14226870717149,forn27@hotmail.com,11912836654
28,Empresa 28 Ltda,98537346275224,forn28@yahoo.com.br,11974591337
29,Empresa 29 Ltda,17172257001286,forn29@gmail.com,11935097181
30,Empresa 30 Ltda,17322309236307,forn30@yahoo.com.br,11953872561
31,Empresa 31 Ltda,17322309236307,forn31@hotmail.com,11925919847
32,Empresa 32 Ltda,84993584563456,forn32@yahoo.com.br,11982033805
33,Empresa 33 Ltda,99516286428740,forn33@hotmail.com,11979277313
34,Empresa 34 Ltda,77890974970405,forn34@gmail.com,11924223411
35,Empresa 35 Ltda,14226870717149,forn35@gmail.com,11959311586
